#id,type,level,label,desc_label
72,1,1,MSG_QUIZ_TOEIC_QUESTION_72,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_72
73,1,1,MSG_QUIZ_TOEIC_QUESTION_73,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_73
74,1,1,MSG_QUIZ_TOEIC_QUESTION_74,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_74
75,1,1,MSG_QUIZ_TOEIC_QUESTION_75,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_75
76,1,1,MSG_QUIZ_TOEIC_QUESTION_76,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_76
77,1,1,MSG_QUIZ_TOEIC_QUESTION_77,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_77
78,1,1,MSG_QUIZ_TOEIC_QUESTION_78,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_78
79,1,1,MSG_QUIZ_TOEIC_QUESTION_79,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_79
80,1,1,MSG_QUIZ_TOEIC_QUESTION_80,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_80
81,1,1,MSG_QUIZ_TOEIC_QUESTION_81,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_81
82,1,1,MSG_QUIZ_TOEIC_QUESTION_82,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_82
83,1,1,MSG_QUIZ_TOEIC_QUESTION_83,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_83
84,1,1,MSG_QUIZ_TOEIC_QUESTION_84,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_84
85,1,1,MSG_QUIZ_TOEIC_QUESTION_85,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_85
86,1,1,MSG_QUIZ_TOEIC_QUESTION_86,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_86
87,1,1,MSG_QUIZ_TOEIC_QUESTION_87,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_87
88,1,1,MSG_QUIZ_TOEIC_QUESTION_88,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_88
89,1,1,MSG_QUIZ_TOEIC_QUESTION_89,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_89
90,1,1,MSG_QUIZ_TOEIC_QUESTION_90,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_90
91,1,1,MSG_QUIZ_TOEIC_QUESTION_91,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_91
92,1,1,MSG_QUIZ_TOEIC_QUESTION_92,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_92
93,1,1,MSG_QUIZ_TOEIC_QUESTION_93,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_93
94,1,1,MSG_QUIZ_TOEIC_QUESTION_94,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_94
95,1,1,MSG_QUIZ_TOEIC_QUESTION_95,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_95
96,1,1,MSG_QUIZ_TOEIC_QUESTION_96,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_96
97,1,1,MSG_QUIZ_TOEIC_QUESTION_97,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_97
98,1,1,MSG_QUIZ_TOEIC_QUESTION_98,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_98
99,1,1,MSG_QUIZ_TOEIC_QUESTION_99,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_99
100,1,1,MSG_QUIZ_TOEIC_QUESTION_100,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_100
101,1,1,MSG_QUIZ_TOEIC_QUESTION_101,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_101
102,1,1,MSG_QUIZ_TOEIC_QUESTION_102,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_102
103,1,1,MSG_QUIZ_TOEIC_QUESTION_103,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_103
104,1,1,MSG_QUIZ_TOEIC_QUESTION_104,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_104
105,1,1,MSG_QUIZ_TOEIC_QUESTION_105,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_105
106,1,1,MSG_QUIZ_TOEIC_QUESTION_106,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_106
107,1,1,MSG_QUIZ_TOEIC_QUESTION_107,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_107
108,1,1,MSG_QUIZ_TOEIC_QUESTION_108,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_108
109,1,1,MSG_QUIZ_TOEIC_QUESTION_109,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_109
110,1,1,MSG_QUIZ_TOEIC_QUESTION_110,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_110
111,1,1,MSG_QUIZ_TOEIC_QUESTION_111,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_111
112,1,1,MSG_QUIZ_TOEIC_QUESTION_112,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_112
113,1,1,MSG_QUIZ_TOEIC_QUESTION_113,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_113
114,1,1,MSG_QUIZ_TOEIC_QUESTION_114,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_114
115,1,1,MSG_QUIZ_TOEIC_QUESTION_115,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_115
116,1,1,MSG_QUIZ_TOEIC_QUESTION_116,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_116
117,1,1,MSG_QUIZ_TOEIC_QUESTION_117,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_117
118,1,1,MSG_QUIZ_TOEIC_QUESTION_118,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_118
119,1,1,MSG_QUIZ_TOEIC_QUESTION_119,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_119
120,1,1,MSG_QUIZ_TOEIC_QUESTION_120,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_120
121,1,1,MSG_QUIZ_TOEIC_QUESTION_121,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_121
122,1,1,MSG_QUIZ_TOEIC_QUESTION_122,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_122
123,1,1,MSG_QUIZ_TOEIC_QUESTION_123,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_123
124,1,1,MSG_QUIZ_TOEIC_QUESTION_124,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_124
125,1,1,MSG_QUIZ_TOEIC_QUESTION_125,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_125
126,1,1,MSG_QUIZ_TOEIC_QUESTION_126,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_126
127,1,1,MSG_QUIZ_TOEIC_QUESTION_127,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_127
128,1,1,MSG_QUIZ_TOEIC_QUESTION_128,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_128
129,1,1,MSG_QUIZ_TOEIC_QUESTION_129,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_129
130,1,1,MSG_QUIZ_TOEIC_QUESTION_130,MSG_QUIZ_TOEIC_QUESTION_DESCRIPTION_130
